,Rank,Name,2020 Population,2019 Population,Change
1232,1233,Mbandaka,442989,428210,3.45%
1233,1234,Manado,442889,438948,0.90%
1234,1235,Andizhan,442863,437091,1.32%
1235,1236,Zhangye,442604,437550,1.16%
1236,1237,Lvliang,441843,418147,5.67%
1237,1238,Gboko,441750,428289,3.14%
1238,1239,Phra Nakhon Si Ayutthaya,441273,435353,1.36%
1239,1240,Pinghu,440963,422603,4.34%
1240,1241,Roi Et,440609,434690,1.36%
1241,1242,Siheung,440381,437825,0.58%
1242,1243,Hejian,440022,415546,5.89%
1243,1244,Okpogho,439855,418795,5.03%
1244,1245,Yogyakarta,439829,434082,1.32%
1245,1246,Mariupol,439509,442491,-0.67%
1246,1247,Sao Jose Do Rio Preto,439018,434237,1.10%
1247,1248,Antofagasta,438871,432085,1.57%
1248,1249,Santiago De Cuba,437884,436764,0.26%
1249,1250,Jhang,437774,430709,1.64%
1250,1251,Sagar,437354,429906,1.73%
1251,1252,Lop Buri,437305,414837,5.42%
1252,1253,Batman,437023,426699,2.42%
1253,1254,Santiago Del Estero,435567,429215,1.48%
1254,1255,Ji An Jiangxi,435064,422883,2.88%
1255,1256,Bratislava,434926,432508,0.56%
1256,1257,Jurong,434797,418996,3.77%
1257,1258,Toamasina,434398,411799,5.49%
1258,1259,Yixing,432414,422798,2.27%
1259,1260,Resistencia,432250,427259,1.17%
1260,1261,Ondo,432222,419987,2.91%
1261,1262,Santa Rosa,432221,415715,3.97%
1262,1263,Phuket,432216,426410,1.36%
1263,1264,Aktyubinsk,431455,427530,0.92%
1264,1265,Sahiwal,431413,418944,2.98%
1265,1266,Erzurum,431275,422845,1.99%
1266,1267,Windhoek,431171,417380,3.30%
1267,1268,Yingde,430821,421293,2.26%
1268,1269,Bern,429734,425951,0.89%
1269,1270,Shanwei,429622,422815,1.61%
1270,1271,Alwar,429275,419443,2.34%
1271,1272,Oakland,428545,424275,0.50%
1272,1273,Caserta,427896,426873,0.24%
1273,1274,Minneapolis,427791,420721,0.83%
1274,1275,Oyo,427581,415078,3.01%
1275,1276,English Bazar,426793,413862,3.12%
1276,1277,Monteria,426477,419227,1.73%
1277,1278,Lobito,426310,413795,3.02%
1278,1279,Potiskum,426253,398160,7.06%
1279,1280,Rampur,425966,417430,2.04%
1280,1281,Hardwar,425643,412486,3.19%
1281,1282,Polokwane,425613,405592,4.94%
1282,1283,Coventry,425566,418347,1.73%
1283,1284,Chimoio,425069,406419,4.59%
1284,1285,Tver,424733,424012,0.17%
1285,1286,Tartus,424153,417342,1.63%
1286,1287,Bafoussam,423982,411286,3.09%
1287,1288,Uijeongbu,423624,423671,-0.01%
1288,1289,Lishui Zhejiang,422306,407415,3.65%
1289,1290,Wah,422244,409670,3.07%
1290,1291,Suihua,421817,415172,1.60%
1291,1292,Tetouan,421247,413895,1.78%
1292,1293,Pokhara,420735,402193,4.61%
1293,1294,Magnitogorsk,420661,420719,-0.01%
1294,1295,Salalah,420226,407176,3.21%
1295,1296,Fangchenggang,420065,403484,4.11%
1296,1297,Qazvin,420044,415232,1.16%
1297,1298,Maringa,419993,413629,1.54%
1298,1299,Takamatsu,419653,420594,-0.22%
1299,1300,Gujrat,419492,410873,2.10%
1300,1301,Salerno,419469,418887,0.14%
1301,1302,Doha Industrial Area,418739,412502,1.51%
1302,1303,Tongcheng,418418,400741,4.41%
1303,1304,Cuenca,418372,409320,2.21%
1304,1305,Vungtau,417824,405976,2.92%
1305,1306,Korba,417807,411969,1.42%
1306,1307,Nankang,417052,400186,4.21%
1307,1308,St Catharines Niagara,416049,414037,0.49%
1308,1309,Jiyuan,415541,407158,2.06%
1309,1310,Bata,415270,395403,5.02%
1310,1311,Hechi,415022,401201,3.44%
1311,1312,Wellington,414818,413012,0.44%
1312,1313,Quelimane,414813,391667,5.91%
1313,1314,Barddhaman,414308,406797,1.85%
1314,1315,Nagasaki,414208,418003,-0.91%
1315,1316,Qacentina,414011,415411,-0.34%
1316,1317,Bijapur,413766,404092,2.39%
1317,1318,Toyama,413444,415157,-0.41%
1318,1319,Charleroi,413429,412389,0.25%
1319,1320,Thu Dau Mot,413397,389097,6.25%
1320,1321,Akesu,413258,398323,3.75%
1321,1322,Halifax,412674,410816,0.45%
1322,1323,Tieling,412264,408658,0.88%
1323,1324,Tampa,411849,394507,2.15%
1324,1325,Najran,410345,401685,2.16%
1325,1326,Armenia,410130,406566,0.88%
1326,1327,Colima,409948,401947,1.99%
1327,1328,Gwagwalada,409916,377782,8.51%
1328,1329,Dhule,409759,405876,0.96%
1329,1330,Raniganj,409737,387165,5.83%
1330,1331,Arlington,409724,401248,1.05%
1331,1332,Al Fayyum,409558,402237,1.82%
1332,1333,Morogoro,408740,394649,3.57%
1333,1334,Neuquen Plottier Cipolletti,408609,401423,1.79%
1334,1335,Brahmapur,408412,402658,1.43%
1335,1336,Elazig,408388,397756,2.67%
1336,1337,Linzhou,408275,398445,2.47%
1337,1338,Dire Dawa,408096,390924,4.39%
1338,1339,Belgorod,407941,404100,0.95%
1339,1340,Corrientes,407725,402381,1.33%
1340,1341,Rongcheng,407671,402440,1.30%
1341,1342,Makurdi,407257,393124,3.60%
1342,1343,Baharampur,407130,395456,2.95%
1343,1344,Rangpur,406956,398869,2.03%
1344,1345,Ratchaburi,405530,398058,1.88%
1345,1346,Baiyin,404637,399613,1.26%
1346,1347,Laibin,404239,394195,2.55%
1347,1348,Ahmadnagar,404238,401368,0.72%
1348,1349,Longchang,403680,390524,3.37%
1349,1350,Juba,403215,385765,4.52%
1350,1351,Tulsa,403030,403060,-0.00%
1351,1352,Ivanovo,403021,404725,-0.42%
1352,1353,Ciudad Bolivar,402476,397347,1.29%
1353,1354,Karnal,402417,391026,2.91%
1354,1355,Las Palmas Gran Canaria,401900,400921,0.24%
1355,1356,Luhansk,401799,405210,-0.84%
1356,1357,Bengkulu,401451,391360,2.58%
1357,1358,Szczecin,401370,402405,-0.26%
1358,1359,Xinyi,401139,393483,1.95%
1359,1360,Piracicaba,401095,397375,0.94%
1360,1361,Shengzhou,401022,394641,1.62%
1361,1362,Minatitlan,401020,396191,1.22%
1362,1363,Ha'il,400389,394225,1.56%
1363,1364,Hue,400320,392487,2.00%
1364,1365,Kaiping,399946,396277,0.93%
1365,1366,Campina Grande,399758,397208,0.64%
1366,1367,Wuwei,399718,391935,1.99%
1367,1368,Miyazaki,399446,400466,-0.25%
1368,1369,Hami,398946,388890,2.59%
1369,1370,Bryansk,398586,401345,-0.69%
1370,1371,New Orleans,398523,395009,0.44%
1371,1372,Christchurch,398520,396882,0.41%
1372,1373,Huangshan,398406,385655,3.31%
1373,1374,Meizhou,397834,392637,1.32%
1374,1375,Montes Claros,397815,393168,1.18%
1375,1376,General Trias,397715,380043,4.65%
1376,1377,Junagadh,397226,388543,2.23%
1377,1378,Xingyang,396961,382096,3.89%
1378,1379,Jingdezhen,396297,392195,1.05%
1379,1380,Karimnagar,395334,384221,2.89%
1380,1381,Coatzacoalcos,395130,390008,1.31%
1381,1382,Mandaue City,394882,388007,1.77%
1382,1383,Sevastopol,394676,391757,0.75%
1383,1384,Botou,394574,378481,4.25%
1384,1385,Laizhou,394174,391935,0.57%
1385,1386,Khorramabad,394028,388403,1.45%
1386,1387,Eldoret,394023,378107,4.21%
1387,1388,Dhulian,393496,374638,5.03%
1388,1389,Wichita,393270,391586,0.21%
1389,1390,Changji,393243,383083,2.65%
1390,1391,Cumana,393023,386417,1.71%
1391,1392,Okara,392904,382485,2.72%
1392,1393,Ajman,392066,385166,1.79%
1393,1394,Bakersfield,391996,384188,1.01%
1394,1395,Heshan,391932,379348,3.32%
1395,1396,Al Hasakah,390947,384669,1.63%
1396,1397,Surgut,390259,382821,1.94%
1397,1398,Matadi,389669,377964,3.10%
1398,1399,Xingping,389645,370270,5.23%
1399,1400,Gandhidham,389587,372592,4.56%
1400,1401,Ruiru,389022,371518,4.71%
1401,1402,Danzhou,388987,368100,5.67%
1402,1403,Chimbote,388978,385293,0.96%
1403,1404,Posadas,388782,381367,1.94%
1404,1405,Pasto,388483,385844,0.68%
1405,1406,Mogilev,388465,386864,0.41%
1406,1407,Laiyang,387064,383415,0.95%
1407,1408,Grodno,386787,382453,1.13%
1408,1409,Binan,386751,375501,3.00%
1409,1410,Gumi,386622,382642,1.04%
1410,1411,Chitungwiza,386452,382081,1.14%
1411,1412,Huancayo,386366,381946,1.16%
1412,1413,Sikasso,386262,368368,4.86%
1413,1414,Stoke On Trent,386013,384377,0.43%
1414,1415,Victoria,385999,382085,1.02%
1415,1416,Dindigul,385742,375182,2.81%
1416,1417,Enping,385670,368819,4.57%
1417,1418,Ottappalam,385296,367420,4.87%
1418,1419,Al Quwaysimah,385288,371054,3.84%
1419,1420,Lipa City,385246,374177,2.96%
1420,1421,Anapolis,384679,379739,1.30%
1421,1422,Kuala Terengganu,384369,377989,1.69%
1422,1423,Effon Alaiye,383566,371499,3.25%
1423,1424,Nakuru,383461,372710,2.88%
1424,1425,Linqing,383372,378608,1.26%
1425,1426,Port Moresby,382516,374517,2.14%
1426,1427,Ikot Ekpene,382502,367222,4.16%
1427,1428,Jiuquan,382363,367513,4.04%
1428,1429,Dujiangyan,382169,374816,1.96%
1429,1430,Kasur,381720,374769,1.85%
1430,1431,Mardan,381220,374473,1.80%
1431,1432,Manisa,381190,372041,2.46%
1432,1433,Sakon Nakhon,381084,375965,1.36%
1433,1434,Barinas,380483,371411,2.44%
1434,1435,Pingliang,380401,364817,4.27%
1435,1436,Brno,378485,378288,0.05%
1436,1437,Vitebsk,377966,376348,0.43%
1437,1438,Nazret,377819,362407,4.25%
1438,1439,Cleveland,377797,381803,-0.53%
1439,1440,Thies,377286,367240,2.74%
1440,1441,Cabuyao,377220,362813,3.97%
1441,1442,Pescara,377134,375279,0.49%
1442,1443,Saki,376254,358199,5.04%
1443,1444,Bochum,375992,374027,0.53%
1444,1445,Bauru,375733,372649,0.83%
1445,1446,Aurora,375326,368518,0.92%
1446,1447,Vinnitsa,375311,374838,0.13%
1447,1448,Sandakan,375248,370732,1.22%
1448,1449,Saint Etienne,374879,374352,0.14%
1449,1450,Liaoyuan,374789,374421,0.10%
1450,1451,Shimoga,374643,368876,1.56%
1451,1452,Xinzhou,374495,363682,2.97%
1452,1453,Wad Medani,374483,366211,2.26%
1453,1454,Ife,374270,364593,2.65%
1454,1455,Shahjahanpur,373738,370745,0.81%
1455,1456,Treviso,373647,370129,0.95%
1456,1457,Bihar Sharif,373322,364812,2.33%
1457,1458,Gongzhuling,373210,368947,1.16%
1458,1459,Gaoping,372920,353290,5.56%
1459,1460,Baguio City,372680,366805,1.60%
1460,1461,Sanming,372443,367327,1.39%
1461,1462,Ciudad Obregon,372416,364607,2.14%
1462,1463,Nagano,371971,373702,-0.46%
1463,1464,Anand,371559,362161,2.59%
1464,1465,Toyohashi,371026,372362,-0.36%
1465,1466,Tete,370650,347486,6.67%
1466,1467,Donggang,370168,361169,2.49%
1467,1468,Rio Branco,370129,364554,1.53%
1468,1469,Alicante,369758,366449,0.90%
1469,1470,Xingyi Guizhou,369672,365509,1.14%
1470,1471,Aizawl,369648,361112,2.36%
1471,1472,Dashiqiao,368955,362676,1.73%
1472,1473,Jilong,368947,369568,-0.17%
1473,1474,Zacatecas,368616,362382,1.72%
1474,1475,Takasaki,368559,369595,-0.28%
1475,1476,Emeishan,368194,350258,5.12%
1476,1477,Gorgan,367950,363199,1.31%
1477,1478,Bathinda,367767,358541,2.57%
1478,1479,Palakkad,367565,359287,2.30%
1479,1480,Tarlac,367149,361804,1.48%
1480,1481,Santipur,367014,358423,2.40%
1481,1482,Ichalkaranji,366914,362298,1.27%
1482,1483,Reggio Emilia,366694,362825,1.07%
1483,1484,Taraz,366386,365589,0.22%
1484,1485,Birnin Kebbi,366254,352169,4.00%
1485,1486,Sivas,365766,357120,2.42%
1486,1487,Alajuela,365584,347805,5.11%
1487,1488,Qufu,365574,358427,1.99%
1488,1489,Butuan,365112,359102,1.67%
1489,1490,Luoding,364909,355776,2.57%
1490,1491,Kassala,364024,357530,1.82%
1491,1492,Shahriyar,363622,349165,4.14%
1492,1493,Wanning,362912,345830,4.94%
1493,1494,Iligan,362769,358310,1.24%
1494,1495,Qidong,362526,350676,3.38%
1495,1496,Ciudad Victoria,362348,356299,1.70%
1496,1497,Gondar,362314,347060,4.40%
1497,1498,Tumkur,361148,354599,1.85%
1498,1499,San Salvador De Jujuy,361106,356237,1.37%
1499,1500,Monclova,360876,356215,1.31%
1500,1501,Yaan,360612,349167,3.28%
1501,1502,Tours,360360,358911,0.40%
1502,1503,Chanthaburi,360260,348820,3.28%
1503,1504,Yunfu,359668,352748,1.96%
1504,1505,Vladimir,359277,359050,0.06%
1505,1506,Pohang,359226,357212,0.56%
1506,1507,Parbhani,359015,353266,1.63%
1507,1508,Eindhoven,358966,355889,0.86%
1508,1509,Brest,358587,355160,0.96%
1509,1510,Huixian,358553,347444,3.20%
1510,1511,San Pedro,358418,351508,1.97%
1511,1512,Az Zaqazig,358378,354080,1.21%
1512,1513,Annaba,358241,356220,0.57%
1513,1514,Bethune,358084,357436,0.18%
1514,1515,Anaheim,358063,354553,0.49%
1515,1516,Parakou,357912,341690,4.75%
1516,1517,Maunath Bhanjan,357540,348680,2.54%
1517,1518,Neiva,357215,355351,0.52%
1518,1519,Chita,357079,354999,0.59%
1519,1520,Ilesha,357052,343982,3.80%
1520,1521,Al Gadarif,356550,348090,2.43%
1521,1522,Yushu,356496,347915,2.47%
1522,1523,Wenchang,356073,344020,3.50%
1523,1524,Yining,356001,349755,1.79%
1524,1525,Huazhou,355837,345552,2.98%
1525,1526,Antsirabe,355832,339289,4.88%
1526,1527,Ranipet,355812,345387,3.02%
1527,1528,Iwaki,355785,355328,0.13%
1528,1529,Modena,355774,353609,0.61%
1529,1530,Dewas,355513,348165,2.11%
1530,1531,Zhuozhou,355461,344569,3.16%
1531,1532,Kisumu,355089,344487,3.08%
1532,1533,Batangas City,354667,349313,1.53%
1533,1534,Sumquayit,354086,349636,1.27%
1534,1535,Al Ismailiyah,353957,349255,1.35%
1535,1536,Rennes,353897,349759,1.18%
1536,1537,Hisar,353859,348661,1.49%
1537,1538,Roorkee,353570,340027,3.98%
1538,1539,Hafar Al Batin,353380,347630,1.65%
1539,1540,Wonsan,353043,350800,0.64%
1540,1541,Songea,352781,330557,6.72%
1541,1542,Macheng,352419,346693,1.65%
1542,1543,Franca,351926,348666,0.93%
1543,1544,Chandrapur,351869,348313,1.02%
1544,1545,Dhamar,351039,333208,5.35%
1545,1546,Darbhanga,350958,346184,1.38%
1546,1547,Honolulu,350768,351280,-0.07%
1547,1548,Xianning,350448,348750,0.49%
1548,1549,Arkhangelsk,350200,351125,-0.26%
1549,1550,Nizhny Tagil,349705,351864,-0.61%
1550,1551,Bilbao,349633,350873,-0.35%
1551,1552,Deoghar,349481,331323,5.48%
1552,1553,Ponta Grossa,349363,345514,1.11%
1553,1554,Wuppertal,349306,349786,-0.14%
1554,1555,Shenmu,349271,341704,2.21%
1555,1556,Wuchuan,348873,346557,0.67%
1556,1557,Kaluga,348750,347502,0.36%
1557,1558,Habra,348366,342978,1.57%
1558,1559,Leping,348096,341072,2.06%
1559,1560,Blumenau,347831,343103,1.38%
1560,1561,Kota Bharu,347673,343210,1.30%
1561,1562,Zhaoyuan,347664,340179,2.20%
1562,1563,Kaili,347563,339313,2.43%
1563,1564,Bydgoszcz,347522,349375,-0.53%
1564,1565,Rufisque,347295,334747,3.75%
1565,1566,Izmit,347038,340262,1.99%
1566,1567,Plovdiv,346563,345855,0.20%
1567,1568,Faloojah,346522,340851,1.66%
1568,1569,Morvi,346436,335587,3.23%
1569,1570,Gwangmyeong,345890,344796,0.32%
1570,1571,Garoua,345853,339404,1.90%
1571,1572,Karur,345577,332499,3.93%
1572,1573,Aswan,344989,338813,1.82%
1573,1574,Ijebu Ode,344676,334299,3.10%
1574,1575,Farrukhabad,344412,338529,1.74%
1575,1576,Boa Vista,344307,338122,1.83%
1576,1577,Yuanjiang,344057,336900,2.12%
1577,1578,Merida,343834,340199,1.07%
1578,1579,Cordoba,343719,343127,0.17%
1579,1580,Kafr Ad Dawwar,343622,338222,1.60%
1580,1581,Lengshuijiang,343568,331339,3.69%
1581,1582,Thuqbah,343534,334870,2.59%
1582,1583,Djougou,343419,331549,3.58%
1583,1584,Satna,343415,336695,2.00%
1584,1585,Jeju,343168,341650,0.44%
1585,1586,Sarajevo,343089,342743,0.10%
1586,1587,Anlu,342178,330012,3.69%
1587,1588,Reading,342117,339408,0.80%
1588,1589,Tehuacan,341956,337160,1.42%
1589,1590,Temuco,341951,337934,1.19%
1590,1591,Alor Star,341779,333158,2.59%
1591,1592,Tampere,341582,339479,0.62%
1592,1593,Barletta,340980,340940,0.01%
1593,1594,Ganca,340912,337987,0.87%
1594,1595,Jalna,340662,334549,1.83%
1595,1596,Heredia,340594,337381,0.95%
1596,1597,Simferopol,340382,340717,-0.10%
1597,1598,Ningguo,340375,324794,4.80%
1598,1599,Sukabumi,340021,335404,1.38%
1599,1600,Kanhangad,339695,326698,3.98%
1600,1601,Acarigua Aruare,338983,333320,1.70%
1601,1602,Zhaotong,338946,329466,2.88%
1602,1603,Makiivka,338827,341364,-0.74%
1603,1604,Navsari,338788,332571,1.87%
1604,1605,Khammam,338657,330051,2.61%
1605,1606,Riverside,338490,331606,1.03%
1606,1607,Nukus,338175,330685,2.26%
1607,1608,Valenciennes,338077,337517,0.17%
1608,1609,Suphan Buri,337631,326994,3.25%
1609,1610,Thanjavur,336972,331880,1.53%
1610,1611,Manzhouli,336643,326537,3.09%
1611,1612,Xuanwei,336549,323253,4.11%
1612,1613,Jiayuguan,336493,322243,4.42%
1613,1614,Lafia,336170,324903,3.47%
1614,1615,Windsor,336082,334709,0.41%
1615,1616,Wulanhaote,335437,328721,2.04%
1616,1617,Pavlodar,335387,336720,-0.40%
1617,1618,Varna,335068,335217,-0.04%
1618,1619,Santa Ana,335009,334613,0.06%
1619,1621,Yanbu Al Bahr,334989,326675,2.55%
1620,1620,Ensenada,334989,329152,1.77%
1621,1622,Central Coast,334922,333379,0.46%
1622,1623,Lublin,334720,336382,-0.49%
1623,1624,Bielefeld,334489,334518,-0.01%
1624,1625,Ningde,334023,324722,2.86%
1625,1626,Uberaba,333487,329657,1.16%
1626,1627,Nizamabad,333462,330871,0.78%
1627,1628,Lexington Fayette,333177,325813,1.12%
1628,1629,Baicheng,332826,327950,1.49%
1629,1630,Songzi,332001,325125,2.11%
1630,1631,Mannheim,331670,326536,1.57%
1631,1632,Caruaru,331175,326561,1.41%
1632,1633,Qods,331071,325284,1.78%
1633,1634,Asahikawa,330904,333211,-0.69%
1634,1635,Koriyama,330637,332136,-0.45%
1635,1636,Corpus Christi,330633,328183,0.37%
1636,1637,Maebashi,330538,332205,-0.50%
1637,1638,Zixing,330483,316928,4.28%
1638,1639,Uruapan,329996,323058,2.15%
1639,1640,Volzhsky,329977,329483,0.15%
1640,1641,Westfalen,329913,326074,1.18%
1641,1642,Shihezi,329750,327496,0.69%
1642,1643,Fujin,329544,316047,4.27%
1643,1644,Nha Trang,329373,327081,0.70%
1644,1645,Arrah,329370,321763,2.36%
1645,1646,Batna,329333,324466,1.50%
1646,1647,Khubar,329071,319717,2.93%
1647,1648,Birkenhead,329045,328393,0.20%
1648,1649,Smolensk,328887,329691,-0.24%
1649,1650,Haldwani,328798,317599,3.53%
1650,1651,Kashan,328630,322155,2.01%
1651,1652,Zhangshu,328338,315204,4.17%
1652,1653,Ust Kamenogorsk,328200,328932,-0.22%
1653,1654,Parma,328154,325925,0.68%
1654,1655,Haiyang,328140,318588,3.00%
1655,1656,Yakutsk,328086,323163,1.52%
1656,1657,Cotabato,327985,321920,1.88%
1657,1658,San Fernando,327808,323205,1.42%
1658,1659,Vitoria Da Conquista,327672,322906,1.48%
1659,1660,Tila Al Ali,327476,315070,3.94%
1660,1661,Kharagpur,326809,323727,0.95%
1661,1662,Sinuiju,326438,326120,0.10%
1662,1663,Vicenza,326371,324335,0.63%
1663,1664,Pelotas,326241,324791,0.45%
1664,1665,Nola,325360,324302,0.33%
1665,1666,Henderson,325341,309155,2.55%
1666,1667,Podolsk,324216,318062,1.93%
1667,1668,Safi,323906,320853,0.95%
1668,1669,Baaqoobah,323796,313690,3.22%
1669,1670,Dingzhou,323646,316147,2.37%
1670,1671,Deir Ez Zor,323432,318239,1.63%
1671,1672,Hailin,323336,317905,1.71%
1672,1673,Ciudad Del Este,322000,318031,1.25%
1673,1674,Saransk,321997,320608,0.43%
1674,1675,Semipalatinsk,321351,322228,-0.27%
1675,1676,Rushan,321112,314156,2.21%
1676,1677,Long Xuyen,321104,315095,1.91%
1677,1678,Naha,320899,321175,-0.09%
1678,1679,Sari,320829,317708,0.98%
1679,1680,Kingston Upon Hull,320825,319883,0.29%
1680,1681,Hapur,320713,314289,2.04%
1681,1682,Tacna,320453,314566,1.87%
1682,1683,Bonn,320194,320213,-0.01%
1683,1684,Cirebon,320129,317251,0.91%
1684,1685,Cherepovets,319917,320169,-0.08%
1685,1686,Balikesir,319060,310369,2.80%
1686,1687,Karlsruhe,318064,316236,0.58%
1687,1688,Oruro,318022,310979,2.26%
1688,1689,Iasi,317313,317507,-0.06%
1689,1690,Rugao,317217,310422,2.19%
1690,1691,Lamphun,317180,312920,1.36%
1691,1692,Anning,317091,308554,2.77%
1692,1693,Stockton,317088,312080,0.80%
1693,1694,Vologda,316737,316274,0.15%
1694,1695,Orel,316624,317683,-0.33%
1695,1696,Ratlam,316365,311664,1.51%
1696,1697,Bahia Blanca,315533,313739,0.57%
1697,1698,Gimhae,314440,313210,0.39%
1698,1699,Cascavel,314244,310364,1.25%
1699,1700,Jayapura,314205,307963,2.03%
1700,1701,St. Paul,313878,308138,0.92%
1701,1702,Kurgan,313542,316294,-0.87%
1702,1703,Los Mochis,313492,307482,1.95%
1703,1704,Setif,313401,307703,1.85%
1704,1705,Pekalongan,313275,309634,1.18%
1705,1706,Taubate,312617,309172,1.11%
1706,1707,Southend On Sea,312328,310367,0.63%
1707,1708,Samarra,311819,306716,1.66%
1708,1709,Swansea,311408,310051,0.44%
1709,1710,Camaguey,309741,308903,0.27%
1710,1711,Cluj Napoca,307851,307397,0.15%
1711,1712,Lecco,307670,306107,0.51%
1712,1713,Irvine,307318,286720,3.47%
1713,1714,Akita,306977,309275,-0.74%
1714,1715,Vigo,306853,306596,0.08%
1715,1716,Timisoara,306736,306796,-0.02%
1716,1717,Yangchun,305114,302743,0.78%
1717,1718,Valladolid,305047,306657,-0.53%
1718,1719,Kurume,304865,305335,-0.15%
1719,1720,Orlando,303933,290553,2.25%
1720,1721,Pittsburgh,302669,303147,-0.08%
1721,1722,Vladikavkaz,302105,303891,-0.59%
1722,1723,Aguadilla Isabela San Sebastian,299956,300568,-0.20%
