,Rank,Name,2020 Population,2019 Population,Change
197,198,Maracaibo,2257999,2218693,1.77%
198,199,Taoyuan,2245162,2217749,1.24%
199,200,Rawalpindi,2236905,2195560,1.88%
200,201,Gujranwala,2229220,2168960,2.78%
201,202,Agra,2210246,2159903,2.33%
202,203,Peshawar,2202946,2133382,3.26%
203,204,Daegu,2198962,2209367,-0.47%
204,205,Baotou,2190495,2142760,2.23%
205,206,Naples,2186853,2191906,-0.23%
206,207,Visakhapatnam,2174968,2124948,2.35%
207,208,Kannur,2166906,2107309,2.83%
208,209,Liuzhou,2165257,2103506,2.94%
209,210,Hohhot,2163394,2085969,3.71%
210,211,Amman,2148293,2108509,1.89%
211,212,Xuzhou,2145970,2099308,2.22%
212,213,Havana,2140423,2138419,0.09%
213,214,Tijuana,2140398,2099293,1.96%
214,215,Esfahan,2132037,2086356,2.19%
215,216,Hiroshima,2083223,2089157,-0.28%
216,217,Brussels,2080788,2065284,0.75%
217,218,Phnom Penh,2077757,2014015,3.16%
218,219,Grande Vitoria,2075857,2039962,1.76%
219,220,Nashik,2065728,2008598,2.84%
220,221,Mecca,2042106,2004888,1.86%
221,222,Perth,2041959,2016415,1.27%
222,223,Vijayawada,2039845,1975188,3.27%
223,224,Minsk,2028104,2016677,0.57%
224,225,Multan,2015091,1972432,2.16%
225,226,Yangzhou,1992773,1946377,2.38%
226,227,Bursa,1986268,1951161,1.80%
227,228,Baoding,1975790,1932104,2.26%
228,229,Conakry,1938272,1889233,2.60%
229,230,Linyi Shandong,1936908,1889824,2.49%
230,231,Taizhou Zhejiang,1934847,1876402,3.11%
231,232,Vienna,1929944,1915338,0.76%
232,233,Aleppo,1916781,1834093,4.51%
233,234,Putian,1907350,1809304,5.42%
234,235,Almaty,1895742,1862809,1.77%
235,236,Baixada Santista,1892314,1872844,1.04%
236,237,West Yorkshire,1889095,1876395,0.68%
237,238,Haikou,1889071,1846864,2.29%
238,239,Rabat,1884802,1864851,1.07%
239,240,Rajkot,1878032,1822437,3.05%
240,241,Wuhu Anhui,1870281,1777511,5.22%
241,242,Semarang,1866492,1832670,1.85%
