,Name,City,Country,IATA,Lat,Long,city_population,country_population,country_density,source_airport,destination_flights,flights_coefficient
4274,Jiujiang Lushan Airport,Jiujiang,China,JIU,29.476944,115.801111,913212.0,1433783686.0,147.7068,JIU,132.0,423.24810425698024
4275,Quzhou Airport,Quzhou,China,JUZ,28.965799,118.899002,757655.0,1433783686.0,147.7068,JUZ,34.0,423.24810425698024
4276,Lianyungang Airport,Lianyungang,China,LYG,34.571667,118.873611,1820127.0,1433783686.0,147.7068,LYG,311.0,423.24810425698024
4277,Huangyan Luqiao Airport,Huangyan,China,HYN,28.56220054626465,121.4290008544922,192155.0,1433783686.0,147.7068,HYN,454.0,423.24810425698024
4278,Shubuling Airport,Linyi,China,LYI,35.04610061645508,118.41200256347656,174379.0,1433783686.0,147.7068,LYI,412.0,423.24810425698024
4279,Quanzhou Jinjiang International Airport,Quanzhou,China,JJN,24.7964,118.589996,1694076.0,1433783686.0,147.7068,JJN,2947.0,423.24810425698024
4280,Tunxi International Airport,Huangshan,China,TXN,29.73329925537109,118.25599670410156,398406.0,1433783686.0,147.7068,TXN,236.0,423.24810425698024
4281,Weifang Airport,Weifang,China,WEF,36.646702000000005,119.119003,2653989.0,1433783686.0,147.7068,WEF,141.0,423.24810425698024
4283,Sunan Shuofang International Airport,Wuxi,China,WUX,31.4944000244,120.429000854,1972337.0,1433783686.0,147.7068,WUX,4660.0,423.24810425698024
4284,Nanping Wuyishan Airport,Wuyishan,China,WUS,27.7019,118.000999,138826.0,1433783686.0,147.7068,WUS,328.0,423.24810425698024
4285,Wenzhou Longwan International Airport,Wenzhou,China,WNZ,27.912201,120.851997,3623646.0,1433783686.0,147.7068,WNZ,7387.0,423.24810425698024
4286,Yancheng Airport,Yancheng,China,YNZ,33.425833000000004,120.203056,113854.0,1433783686.0,147.7068,YNZ,269.0,423.24810425698024
4287,Yiwu Airport,Yiwu,China,YIW,29.3446998596,120.031997681,1334356.0,1433783686.0,147.7068,YIW,579.0,423.24810425698024
